"user_id","page","device","session_duration_sec","clicks","scroll_percent","bounce","conversion"
"3","0","Tablet","192","1","52","0","0"
"4","0","Mobile","172","6","65","0","0"
"10","0","Mobile","232","7","89","0","1"
"11","0","Desktop","113","7","88","0","0"
"14","0","Desktop","214","4","52","0","0"
"15","0","Mobile","183","1","88","0","0"
"17","0","Mobile","221","5","73","0","0"
"20","0","Mobile","144","7","67","0","0"
"29","0","Mobile","175","4","76","0","0"
"41","0","Desktop","235","1","65","0","0"
"42","0","Tablet","170","1","59","0","0"
"45","0","Tablet","119","6","62","0","1"
"46","0","Desktop","145","8","60","0","0"
"51","0","Desktop","112","7","66","0","1"
"55","0","Mobile","111","3","95","0","0"
"65","0","Desktop","133","7","98","0","0"
"72","0","Desktop","101","1","69","0","0"
"75","0","Tablet","206","3","52","0","0"
"81","0","Mobile","143","2","81","0","0"
"83","0","Mobile","137","7","53","0","0"
"84","0","Mobile","202","8","99","0","1"
"88","0","Mobile","214","8","56","0","0"
"90","0","Tablet","213","1","78","0","0"
"91","0","Desktop","101","8","79","0","0"
"96","0","Desktop","157","2","93","0","0"
